[Header]
TITLE,MPMS RSO Measurement
BYAPP,MPMS Measurement,1.1,Summary
FILEOPENTIME, 1662291436.392000 9/4/2022, 1:37:16 PM

INFO, APPNAME, MPMS MultiVu Application, Revision 1.61,  Build 082

INFO, NAME, 
INFO, WEIGHT, 9.700
INFO, AREA, 1.000
INFO, LENGTH, 1.000
INFO, SHAPE, 
INFO, COMMENT, 
INFO, SEQUENCE FILE: M(H)-5t.seq


INFO, BACKGROUND DATA FILE:, None


STARTUPAXIS,X,4,LINEAR,AUTO,0.000000,0.000000
STARTUPAXIS,Y1,5,LINEAR,AUTO,0.000000,0.000000


STARTUPGROUP,Longitudinal
FIELDGROUP,Longitudinal,1,2,3,4,5,6,7,8,9,10,11,19,20,21,22,23,35
FIELDGROUP,Transverse,1,2,3,4,12,13,14,15,16,17,18,24,25,26,27,28,35

PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES

[Data]
Time,Comment,Field (Oe),Temperature (K),Long Moment (emu),Long Scan Std Dev,Long Offset (cm),Long Offset Std Dev,Long Algorithm,Long Reg Fit,Long Reg Factor,Trans Moment (emu),Trans Scan Std Dev,Trans Offset (cm),Trans Offset Std Dev,Trans Algorithm,Trans Reg Fit,Trans Reg Factor,Long Moment [w/o ABS] (emu),Long Scan Std Dev [w/o ABS],Long Offset [w/o ABS] (cm),Long Offset Std Dev [w/o ABS],Long Reg Fit [w/o ABS],Trans Moment [w/o ABS] (emu),Trans Scan Std Dev [w/o ABS],Trans Offset [w/o ABS] (cm),Trans Offset Std Dev [w/o ABS],Trans Reg Fit [w/o ABS],RSO Position (deg),Amplitude (cm),Frequency,Cycles to Average,Scans per Measurement,Delta Temp (K),Error,EC Comp. Running,Using ABS,
1662292877.767,,2.010782e+002,2.000242e+000,5.019362e-005,0.000000e+000,2.697762e-001,0.000000e+000,3,7.927349e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.980896e-004,0,,0,
1662292886.487,,2.010782e+002,2.000692e+000,5.069068e-005,0.000000e+000,2.597953e-001,0.000000e+000,3,7.925168e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.028942e-004,0,,0,
1662292906.637,,2.501509e+002,2.000067e+000,6.289895e-005,0.000000e+000,2.741152e-001,0.000000e+000,3,7.914854e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.229712e-004,0,,0,
1662292915.037,,2.501509e+002,2.000518e+000,6.295775e-005,0.000000e+000,2.776078e-001,0.000000e+000,3,7.929297e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,3.778934e-004,0,,0,
1662292942.787,,3.013181e+002,2.000359e+000,7.506970e-005,0.000000e+000,2.750759e-001,0.000000e+000,3,7.848202e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.749992e-004,0,,0,
1662292951.947,,3.013181e+002,2.000213e+000,7.536322e-005,0.000000e+000,2.800453e-001,0.000000e+000,3,7.797339e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.740456e-004,0,,0,
1662292971.477,,3.511389e+002,1.999821e+000,8.948153e-005,0.000000e+000,2.797125e-001,0.000000e+000,3,7.913120e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.679296e-004,0,,0,
1662292980.077,,3.511389e+002,2.000242e+000,8.814072e-005,0.000000e+000,2.828885e-001,0.000000e+000,3,7.826424e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.740456e-004,0,,0,
1662293001.057,,4.002116e+002,1.999792e+000,1.017379e-004,0.000000e+000,2.843120e-001,0.000000e+000,3,7.843381e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,4.941225e-004,0,,0,
1662293009.557,,4.002116e+002,2.000300e+000,1.003865e-004,0.000000e+000,2.843432e-001,0.000000e+000,3,7.786408e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,5.793571e-005,0,,0,
1662293030.287,,4.512293e+002,1.999952e+000,1.137116e-004,0.000000e+000,2.859310e-001,0.000000e+000,3,7.787660e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,8.131266e-004,0,,0,
1662293038.507,,4.512293e+002,2.000431e+000,1.138450e-004,0.000000e+000,2.880233e-001,0.000000e+000,3,7.803742e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,1.459122e-004,0,,0,
1662293058.487,,5.007507e+002,1.999908e+000,1.270765e-004,0.000000e+000,2.835062e-001,0.000000e+000,3,7.830554e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,6.680489e-004,0,,0,
1662293067.487,,5.007507e+002,2.000227e+000,1.272431e-004,0.000000e+000,2.871948e-001,0.000000e+000,3,7.824935e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.908707e-005,0,,0,
1662293095.447,,5.523668e+002,2.000227e+000,1.400990e-004,0.000000e+000,2.887644e-001,0.000000e+000,3,7.800257e-001,1.825000e+000,,,,,,,,,,,,,,,,,,0,4.000000e+000,5.000000e-001,1,1,2.610683e-004,0,,0,
