Energy,20221102_1642_Cr_22157b_75K_60deg_minus_0000,20221102_1646_Cr_22157b_75K_60deg_plus_0000,20221102_1649_Cr_22157b_75K_60deg_plus_0000,20221102_1653_Cr_22157b_75K_60deg_minus_0000,20221102_1656_Cr_22157b_75K_60deg_minus_0000,20221102_1659_Cr_22157b_75K_60deg_plus_0000,c+ H+,c- H+,c+ H-,c- H-,XMCD H+,XMCD H-,XAS,XMCD,XAS normalized by jump,XMCD normalized by XAS jump
eV,cminus fieldplus,cplus fieldplus,,,,,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units,arb. units
,,,cplus fieldplus,cminus fieldplus,cminus fieldplus,cplus fieldplus,,,,,c-H+ - c+H+,c-H- - c+H-,,,LCOT (2T),2T
590.025,0.117417856574098,0.114304920274327,0.112956278604081,0.112318650765852,0.111780048599311,0.110897545140149,0.111926911872115,0.112049349682582,0,0,1.22437810466239E-4,0,0.0101241267982446,1.22437810466239E-4,0.154540780588738,-4.0445638972246E-5
590.036,0.117406621552715,0.114294659501937,0.112959296027857,0.112315689917071,0.111764271423044,0.110892068431683,0.11192568222977,0.112039980670057,0,0,1.14298440287319E-4,0,0.0101030238981895,1.14298440287319E-4,0.15456204029915,-6.02634953965797E-5
590.047,0.117340956462825,0.114307597251358,0.112934914334804,0.112341381092037,0.111792965042446,0.110882737273542,0.111908825804173,0.112067173067241,0,0,1.58347263068459E-4,0,0.0101028556245895,1.58347263068459E-4,0.154633818470984,4.58567545162601E-5
590.058,0.117323534273475,0.114311890716191,0.112988797383061,0.112316912751084,0.111761510812591,0.110867023658172,0.111927910520616,0.112039211781837,0,0,1.11301261220803E-4,0,0.0100834748104436,1.11301261220803E-4,0.154659233838568,-6.78487657340388E-5
590.069,0.117396623047659,0.114314303059407,0.112988638793877,0.112302737536833,0.111738162514154,0.110907171064331,0.111947904929104,0.112020450025493,0,0,7.25450963890845E-5,0,0.0100742032174013,7.25450963890845E-5,0.154709044305697,-1.61549639024632E-4
590.08,0.117351337273772,0.11432481925121,0.11293253419305,0.112323553131267,0.111764558736141,0.110941700346647,0.111937117269849,0.112044055933704,0,0,1.06938663855111E-4,0,0.0100765172211704,1.06938663855111E-4,0.154786812593178,-7.87289996485657E-5
590.091,0.117357255665623,0.114332283271305,0.112962272490416,0.112341007983139,0.111774467505863,0.110906265046905,0.111934268768661,0.112057737744501,0,0,1.23468975840341E-4,0,0.010076846285594,1.23468975840341E-4,0.154859790917868,-3.90151329095639E-5
590.102,0.117413964977348,0.114305262416212,0.11296483819646,0.112343713408745,0.111775056059181,0.110886022374807,0.111925430285634,0.112059384733963,0,0,1.33954448329379E-4,0,0.0100591505468433,1.33954448329379E-4,0.154889272630582,-1.3888390117259E-5
590.113,0.117367422594142,0.114283959992532,0.112941818624815,0.112353486418422,0.111785514804321,0.110950596677871,0.111946207651343,0.112069500611372,0,0,1.23292960028859E-4,0,0.010079539544775,1.23292960028859E-4,0.155010658648584,-3.97925040296849E-5
590.124,0.117359356566418,0.114327152526639,0.112946019475451,0.112356769137441,0.11179783287321,0.11091633640033,0.111931177937891,0.112077301005325,0,0,1.4612306743482E-4,0,0.0100618059800904,1.4612306743482E-4,0.155040049081525,1.512373436847E-5
